epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1018.24,0.78509,2.66577,1.25386,0.73967,0.36003,0.38482,0.3001,0.67706,1.2441,1.24317,0.00333092,0.00333092,0.00333092
2,2057.76,0.7751,1.65045,1.22196,0.64511,0.41127,0.43405,0.33331,0.70805,1.23219,1.26575,0.00664226,0.00664226,0.00664226
3,3096.37,0.80777,1.42268,1.24155,0.58758,0.37294,0.37298,0.27757,0.79071,1.33846,1.35492,0.00993161,0.00993161,0.00993161
4,4135.17,0.79562,1.33392,1.23748,0.61908,0.54093,0.56425,0.44839,0.67531,0.92496,1.23376,0.009901,0.009901,0.009901
5,5173.72,0.76487,1.24453,1.21908,0.71167,0.56752,0.6087,0.4894,0.64163,0.81972,1.20896,0.009868,0.009868,0.009868
6,6212.12,0.75042,1.19531,1.20939,0.69485,0.60608,0.6254,0.50395,0.63325,0.81803,1.19474,0.009835,0.009835,0.009835
7,7250.85,0.74239,1.17703,1.20546,0.74346,0.61308,0.65581,0.53621,0.62243,0.75625,1.18422,0.009802,0.009802,0.009802
8,8254.88,0.73669,1.15244,1.20337,0.72598,0.63965,0.67203,0.55003,0.61877,0.73585,1.18006,0.009769,0.009769,0.009769
9,9231.42,0.73514,1.13431,1.20065,0.7289,0.65155,0.68232,0.56082,0.60918,0.71791,1.17646,0.009736,0.009736,0.009736
10,10208.3,0.73164,1.12821,1.19911,0.73662,0.66076,0.68774,0.56616,0.60428,0.71009,1.1732,0.009703,0.009703,0.009703
11,11208.9,0.72821,1.12082,1.19701,0.74137,0.65441,0.68916,0.56539,0.60443,0.70547,1.17181,0.00967,0.00967,0.00967
12,12187.1,0.72762,1.1173,1.19761,0.74878,0.66275,0.6955,0.57095,0.60458,0.70069,1.17103,0.009637,0.009637,0.009637
13,13164.2,0.72203,1.11199,1.19218,0.745,0.67179,0.69687,0.57281,0.60305,0.69931,1.16922,0.009604,0.009604,0.009604
14,14140.4,0.72198,1.111,1.19346,0.7423,0.66983,0.69888,0.57472,0.60216,0.6974,1.16895,0.009571,0.009571,0.009571
15,15164.4,0.7249,1.10171,1.19552,0.74459,0.67087,0.69929,0.57536,0.6024,0.69638,1.16935,0.009538,0.009538,0.009538
16,16202.5,0.72312,1.09628,1.19392,0.7404,0.67209,0.70036,0.57642,0.60202,0.69532,1.16888,0.009505,0.009505,0.009505
17,17241.7,0.721,1.09689,1.19244,0.74353,0.66945,0.70082,0.57734,0.6016,0.69404,1.1683,0.009472,0.009472,0.009472
18,18279.8,0.71896,1.09285,1.19087,0.74632,0.66758,0.70141,0.57793,0.60156,0.69331,1.16784,0.009439,0.009439,0.009439
19,19317.7,0.7197,1.08777,1.1906,0.75126,0.6652,0.70299,0.57911,0.60146,0.69212,1.16727,0.009406,0.009406,0.009406
20,20313.2,0.7173,1.08586,1.18928,0.7553,0.66396,0.70338,0.57964,0.60134,0.69247,1.16664,0.009373,0.009373,0.009373
21,21290,0.718,1.08467,1.18942,0.75253,0.6646,0.70396,0.5801,0.60096,0.69251,1.16604,0.00934,0.00934,0.00934
22,22310.4,0.71978,1.08446,1.19112,0.75092,0.66703,0.70531,0.58135,0.60015,0.69294,1.1652,0.009307,0.009307,0.009307
23,23348.7,0.71541,1.08075,1.18892,0.74965,0.67062,0.70579,0.58199,0.59954,0.69406,1.16451,0.009274,0.009274,0.009274
24,24388,0.71659,1.08154,1.19003,0.75127,0.67121,0.70622,0.5825,0.59899,0.69468,1.16415,0.009241,0.009241,0.009241
25,25425.4,0.7165,1.07665,1.18827,0.75413,0.67057,0.70685,0.58304,0.59932,0.69514,1.16439,0.009208,0.009208,0.009208
26,26464.1,0.71561,1.07296,1.18859,0.75913,0.6683,0.70727,0.58402,0.5987,0.69462,1.16365,0.009175,0.009175,0.009175
27,27502.4,0.71458,1.07155,1.18871,0.76129,0.66895,0.70701,0.5839,0.59845,0.69354,1.16353,0.009142,0.009142,0.009142
28,28539.9,0.71708,1.07453,1.19007,0.7523,0.67135,0.7076,0.58494,0.59846,0.69397,1.16351,0.009109,0.009109,0.009109
29,29577.7,0.7135,1.07274,1.18731,0.7577,0.67038,0.70888,0.58599,0.59881,0.69355,1.16354,0.009076,0.009076,0.009076
30,30616,0.71492,1.07312,1.1885,0.75824,0.66998,0.71019,0.58733,0.59912,0.69223,1.16353,0.009043,0.009043,0.009043
31,31653.7,0.71532,1.07071,1.18883,0.75934,0.66855,0.71212,0.58887,0.59947,0.69037,1.16388,0.00901,0.00901,0.00901
32,32691.9,0.71392,1.06738,1.18713,0.76033,0.67027,0.71334,0.59033,0.59927,0.68909,1.1633,0.008977,0.008977,0.008977
33,33729.9,0.71307,1.06576,1.18899,0.75697,0.66891,0.7141,0.59074,0.59945,0.68709,1.16319,0.008944,0.008944,0.008944
34,34768.4,0.71175,1.06604,1.18794,0.75503,0.67367,0.71534,0.59168,0.59918,0.68507,1.16317,0.008911,0.008911,0.008911
35,35806.5,0.71075,1.06292,1.1872,0.75468,0.67837,0.71709,0.59273,0.5994,0.68325,1.1633,0.008878,0.008878,0.008878
36,36844.3,0.71479,1.06126,1.18984,0.75719,0.67282,0.71772,0.59302,0.5994,0.68133,1.16335,0.008845,0.008845,0.008845
37,37882.6,0.71095,1.05438,1.18675,0.76014,0.67329,0.71821,0.59351,0.59951,0.6799,1.16353,0.008812,0.008812,0.008812
38,38920.8,0.71101,1.05713,1.18638,0.76254,0.67559,0.71883,0.59472,0.59862,0.67815,1.16318,0.008779,0.008779,0.008779
39,39957.9,0.71077,1.05491,1.18744,0.76099,0.67589,0.71939,0.59534,0.59884,0.67583,1.16303,0.008746,0.008746,0.008746
40,40995.1,0.70984,1.05652,1.18707,0.76804,0.67341,0.72005,0.59557,0.59828,0.67438,1.16243,0.008713,0.008713,0.008713
41,42032.6,0.71016,1.05244,1.1868,0.76824,0.67498,0.72127,0.59694,0.59814,0.67271,1.16259,0.00868,0.00868,0.00868
